STT,Query
1,"Điện thoại nào tốt nhất cho sinh viên?"
2,"Điện thoại nào tốt dưới 10 triệu?"
3,"Nên mua iPhone hay Samsung?"
4,"Điện thoại nào chơi game tốt?"
5,"Điện thoại nào chụp ảnh đẹp?"
6,"Top điện thoại tầm trung 2026"
7,"Điện thoại có pin 5000mAh đáng mua"
8,"So sánh iPhone 14 và Samsung S22"
9,"Điện thoại giá rẻ mà camera tốt"
10,"Laptop hay điện thoại cho sinh viên?"
11,"Điện thoại có sạc không dây có cần không?"
12,"Cách kiểm tra pin iPhone cũ"
13,"Điện thoại màn hình 120Hz tốt giá rẻ"
14,"Điện thoại gaming có tản nhiệt tốt"
15,"Có nên mua điện thoại lock không?"
16,"Cách chọn điện thoại cho nhiếp ảnh gia nghiệp dư"
17,"Điện thoại dưới 5 triệu có đáng mua?"
18,"Top điện thoại chụp đêm tốt"
19,"Điện thoại có khe thẻ nhớ tốt"
20,"Làm sao tối ưu pin điện thoại Android"
